TF	Gene	Input
AT5G11260	AT2G28630	1
AT5G11260	AT2G33580	1
AT5G11260	AT1G77640	1
AT5G11260	AT5G25810	1
AT5G11260	AT2G22880	1
AT5G11260	AT1G68840	1
AT5G11260	AT1G56660	1
AT5G11260	AT5G57510	1
AT5G11260	AT1G76600	1
AT5G11260	AT3G50850	1
AT5G11260	AT1G68620	1
AT5G11260	AT3G46080	1
AT5G11260	AT1G18740	1
AT5G11260	AT3G50800	1
AT5G11260	AT5G47590	1
AT5G11260	AT2G25460	1
AT5G11260	AT3G62260	1
AT5G11260	AT1G18300	1
AT1G28300	AT5G13790	1
AT2G41070	AT3G51810	1
AT1G28300	AT3G62100	1
AT1G28300	AT1G65090	1
AT1G28300	AT1G67100	1
AT1G28300	AT3G54940	1
AT1G28300	AT2G41070	1
AT1G28300	AT5G50600	1
AT1G28300	AT5G54740	1
AT1G28300	AT4G25140	1
AT1G28300	AT4G27150	1
AT1G28300	AT4G27160	1
AT1G28300	AT4G27170	1
AT1G28300	AT5G44120	1
AT1G28300	AT4G27140	1
AT5G03790	AT1G26310	1
AT5G62020	AT1G16030	1
AT5G62020	AT4G10250	1
AT5G62020	AT5G59720	1
AT5G62020	AT4G27670	1
AT5G62020	AT1G52560	1
AT5G62020	AT3G09640	1
AT1G62300	AT2G19190	1
AT3G54340	AT1G69120	1
AT3G62420	AT3G30775	1
AT2G25000	AT4G04450	1
AT2G25000	AT2G19190	1
AT5G15840	AT4G20370	1
AT2G36270	AT3G51810	1
AT2G25000	AT2G25000	1
AT1G28300	AT3G01570	1
AT2G36010	AT1G07270	1
AT2G36010	AT5G42680	1
AT1G21970	AT3G26790	1
AT1G21970	AT3G24650	1
AT3G26790	AT1G62290	1
AT2G36010	AT5G15540	1
AT2G36010	AT5G07950	1
AT2G36010	AT3G54180	1
AT2G36010	AT2G46200	1
AT2G36010	AT1G80190	1
AT2G36010	AT4G31400	1
AT2G36010	AT3G17030	1
AT2G36010	AT2G46380	1
AT2G36010	AT3G60660	1
AT2G36010	AT5G06590	1
AT2G36010	AT2G40550	1
AT2G36010	AT1G78650	1
AT2G36010	AT2G24970	1
AT2G36010	AT5G03700	1
AT2G36010	AT1G31020	1
AT2G36010	AT1G49540	1
AT2G36010	AT3G23020	1
AT2G36010	AT1G45110	1
AT2G36010	AT3G51450	1
AT2G36010	AT4G30840	1
AT2G36010	AT4G14770	1
AT2G36010	AT2G02810	1
AT2G36010	AT5G19920	1
AT2G36010	AT3G42660	1
AT2G36010	AT5G06910	1
AT2G36010	AT1G80720	1
AT2G36010	AT3G12170	1
AT2G36010	AT5G14530	1
AT2G36010	AT3G54650	1
AT2G36010	AT5G52910	1
AT2G36010	AT1G04730	1
AT2G36010	AT1G34770	1
AT2G36010	AT3G63480	1
AT2G36010	AT2G47680	1
AT2G36010	AT3G27640	1
AT2G36010	AT4G14365	1
AT2G36010	AT1G68200	1
AT2G36010	AT4G23860	1
AT2G36010	AT3G02820	1
AT2G36010	AT1G33420	1
AT2G36010	AT2G41460	1
AT2G36010	AT3G24320	1
AT2G36010	AT5G44740	1
AT2G36010	AT5G22750	1
AT2G36010	AT4G25540	1
AT2G36010	AT3G14890	1
AT2G36010	AT4G17760	1
AT2G36010	AT4G02460	1
AT2G36010	AT3G15620	1
AT2G36010	AT5G66130	1
AT2G36010	AT4G02070	1
AT2G36010	AT3G18630	1
AT2G36010	AT1G66740	1
AT2G36010	AT5G18620	1
AT2G36010	AT5G62410	1
AT2G36010	AT1G69770	1
AT2G36010	AT5G38110	1
AT2G36010	AT2G44980	1
AT2G36010	AT2G31650	1
AT2G36010	AT5G56740	1
AT2G36010	AT3G59550	1
AT2G36010	AT5G49160	1
AT2G36010	AT1G65470	1
AT2G36010	AT1G13330	1
AT2G36010	AT5G61460	1
AT2G36010	AT5G24330	1
AT2G36010	AT1G07270	1
AT2G36010	AT3G25100	1
AT2G36010	AT5G23420	1
AT2G36010	AT5G07660	1
AT2G36010	AT1G44900	1
AT2G36010	AT2G16440	1
AT2G36010	AT3G09660	1
AT2G36010	AT2G31270	1
AT2G36010	AT1G26840	1
AT2G36010	AT4G12620	1
AT2G36010	AT5G16690	1
AT2G36010	AT2G14050	1
AT2G36010	AT2G29680	1
AT2G36010	AT3G10690	1
AT2G36010	AT5G27740	1
AT2G36010	AT3G02920	1
AT2G36010	AT1G67500	1
AT2G36010	AT1G08130	1
