HDGF	SPTSSB	CD151
VAT1	TLR5	LAIR1
UNC13D	POPDC2	ALDOC
UNC45A	RNU6-28P	FBXO5
EEF1B2P1	RNU6-28	PREP
WBP1L	EIF3LP2	LARP6
SUPT5H	ARSK	TACC3
GRK6	RGS16	BDP1
SYMPK	RHBDF2	NUDT5
NCAPD3	MTX2	CENPK
PGK1P2	DOCK5	PPP1CB
NXN	TAF13	MRPS33
LDB1	LCP2	HELQ
CORO1B	NME4	EFNA1
AP2S1	GBE1	MXD1
MT-CYB	DNAJC24	TMF1
CCND3	CREBRF	ZBED5
TRIM28	FERMT2	PSMG4
SLC7A3	MCL1	GIMAP7
PRMT1	RPL32P29	SNX16
SIT1	MFSD8	SRP68
FAHD2B	RGCC	TPT1
CHD3	SEH1L	PSMD10
DLG4	C5orf54	PCGF3
ZAP70	FASTKD1	EFCAB7
FLYWCH2	MEX3C	OSBP
REEP2	MCTP1	CLCN6
SLC25A11	STRN3	MRFAP1
ACTG1	WDR11	CENPH
BSCL2	MTRF1	FASTKD5
PYGB	NAA16	RILPL2
SMARCB1	NEIL3	C9orf85
MRPL4	KIAA1671	CXCL3
PTBP1	FMNL2	CLIC4
NPEPPS	RNU6-11P	FUBP1
TXN2	RNU6-11	SH2D3C
TRABD	MAT2B	ELMO1
E2F4	ZSCAN22	TMSB4XP8
JUNB	ELP3	FAM102B
MRPS30	CLEC2D	HEBP1
SF3B4	ATP2B2	PDS5A
IZUMO4	CRK	OST4
RPL36P18	TIMP2	POLR2L
MADD	MOCS2	MRPL52
AP2M1	MKNK2	APLP1
AKAP17A	C1GALT1	OAZ2
SDF4	NMI	MYO7B
EEF1A1P19	MYH9	DLEU2
TFAP4	ST8SIA4	IRS2
YPEL3	ZNF568	NLGN4X
ZNF467	RPL15	CD28
SEC24C	DDIT3	C16orf58
ATP6V0C	MRPS23	MED10
CNPY3	TRIP11	SNHG6
ARF5	MEF2BNB-MEF2B	POLD3
ASPSCR1	RNF10	UROD
BBS1	LYSMD3	SLFN5
RPL26P9	SH3BP5	TACC2
ASNA1	PLK1	NOL11
NELFA	ARV1	LYST
MT-CO3	VMAC	PRRC2C
DTX1	POT1	DEPDC1
LPCAT4	OLAH	OSGIN2
ARHGEF1	NFXL1	TANK
ATF6B	FAM98C	KIF11
HMGA1P6	MICAL2	SNX5
MARK2	CDCA4	ORC1
NDRG1	KLF6	CCNB1
TIMM44	UTP20	HNRNPA0
RCSD1	PPP1R21	SMC4
CALR	CREB1	NLRP1
RAB11B	CD9	PDCD4
CSNK1G2	DEPDC1	RPL37
CORO7-PAM16	PTCH2	BTN2A1
CRTC2	BRCC3	FKBP11
ACTB	BTBD1	FERMT3
GORASP2	PSMA4	CCDC6
ANXA6	AAED1	CWC25
HNRNPA3P1	MAGT1	MBIP
EMP3	MZB1	E2F6
ANKRD11	PPP1R15B	POMGNT1
MTND4P12	SAP18	ANXA2
NPM3	BLOC1S5	HSP90B1
ALKBH5	ACTR8	KIF20A
CENPB	LMBRD2	GRB10
GNA15	EIF3L	RRN3
AUP1	UBR1	ATP5A1
IL32	CAMK2G	KRCC1
PCGF2	PTCH1	IMPA1
MT-ND2	RNU6-5	RAD51AP1
UHRF1	RNU6-5P	RHOB
RAVER1	RNF26	TMEFF1
ZNF687	ITSN2	CBFA2T3
CNOT3	NKD2	CDKN3
IGSF8	WDR43	NSA2
HYOU1	SOS1	FAM107B
METRN	SMC6	ENY2
SRSF5	KDM3A	DDX3X
EIF4G1	ARL17A	RPF2
PSMD9	GRPEL2	SLA
ZFAND3	MIF	NCK1
MAP2K2	PELO	CDKN1A
ZNF775	CAPS2	ING5
AATF	PHF11	CHEK1
MPDU1	TGFB1	HNRNPR
CCDC106	TTC9C	LY96
ARL2	EXO1	ABRACL
GAPDHP1	KRIT1	SH2D1A
SNRNP70	WTAP	IKBKGP1
HGS	WDR61	ZNF22
MTND2P28	GRK4	STK40
ZZEF1	FGD5-AS1	HIST1H2BH
MAPKAPK2	RPL26	C15orf40
ERF	HJURP	BTG3
AP1M1	SF1	SNRPG
POLG	SETX	PAK1IP1
HDAC3	EIF2AK4	RBM25
ATF5	FASTKD2	FDFT1
CYTH1	TXNRD1	MRP63
SLC38A5	HIBCH	PFKM
ACOT8	RNU6-1	RNU6-17
AES	RNU6-41	RNU6-17P
AP2A1	RNU6-8	MRPS12
HK1	MBD1	APMAP
U2AF2	BTF3P9	PFDN1
ZBED1	LGMN	DDX18
SEC61A1	GPI	TAF1D
IGFBP2	SCPEP1	FIS1
ARF1	SFT2D1	MAEA
SREBF1	MIR17HG	HSPA13
RPL26P31	DNAJB4	RUNX2
LAPTM5	SNORD118	FOS
CAPN15	MRPS16	AKR7A2
COMTD1	EIF3FP3	IFT57
PNPLA6	GUCY1B3	VAMP5
SOLH	LDHA	RAD23A
TRMU	MKKS	LSM3P3
PYGO2	OSTM1	SEC14L2
WRAP73	FOXM1	GIMAP4
SSR2	CCDC93	CAMK4
AEBP1	TARBP1	ACVR2B
GRAP2	ZNF445	HSPE1
ARL6IP4	KCTD9	FAM216A
SH3BGRL3	RHBDD1	VDAC2
SIPA1L1	FAU	MBTD1
PHB2	RNU6-4P	FAM69B
REPS1	METTL15	NFU1
NPM1P50	PROSC	USP42
MXD4	KPNA2	PRKCH
NUDT1	SLC7A7	FBXO30
ATP13A1	SUN2	QSOX1
ERAL1	SP3	WDR11
ABCF1	DSCC1	STAM2
TMEM238	NUP62	NOB1
TRMT2B	SCAND1	AP5M1
PAGR1	PMS1	EPC2
ELP2	IMPDH2	ADSS
DVL3	MSMO1	PAK1
LRPAP1	TMEM33	ZRANB2
TLE2	MBD4	VRK1
BZRAP1	L2HGDH	BAZ1B
NOC2L	MAGI1	ACP1
ARGLU1	CTSB	MAT2B
DBH-AS1	RNU6-42P	GMPPA
MED16	RNU6-42	ACTR2
USP5	SLC2A11	SMYD2
MAFK	CAMTA1	TNRC6B
SMARCD2	TRMT1L	CLN8
USP19	CHST15	MTX2
ARRDC1	FGFBP2	MED21
DGKQ	RGS1	TMCO3
PRKACA	MAN2A1	LYSMD3
RPL21P44	DGKG	RAC1
HLTF	PBRM1	WDR82
PKM	SLC25A20	RAD23B
CELSR3	CEP57L1	CKS1B
EIF3G	OST4	C4orf21
NUDT8	MYCBP2	ENOPH1
SH3GLB2	ACYP2	PIM2
PPP1R11	PIK3CG	STK25
ZNF212	SRSF3	ARNTL2
TPM2	CASZ1	VCP
C17orf59	POLA2	HMGCS1
CD248	VAMP7	BEND5
RPS6KB2	PSMA7	CDK8
TOR2A	ARL6	DIP2A
RAB28	DTX3	SNRPN
MSL3	SLC22A5	RANBP2
DMPK	ATG14	HMMR
GLTSCR1	HNRNPH3	POU2AF1
LENG1	TRAPPC11	MINOS1
BAI2	GALNT2	PTPN12
RPUSD3	LYG1	HNRNPD
INTS12	CTNNA1	IRF1
SLX1A	VWA5A	BOD1L1
DDX6	SESN2	BUB1B
UBE2M	LINC00426	NUP50
ANKRD13B	GLTSCR1L	HHIP-AS1
ID3	LIN9	TAF13
SERTAD1	PSMC1P1	TLE4
EPHB6	SGTA	TOP2B
LY6E	KCNC4	MSANTD3-TMEFF1
WAS	HTATIP2	FAM195A
VPS37B	BBS7	PTBP2
DOCK6	TSGA10	CLIP1
PLEKHB1	GNA15	NDUFA8
SUPT6H	MEIS2	SDHB
SRRT	CHERP	SH3BP1
SMG5	NUPL2	PPWD1
GGA1	LY96	PSMB1
VEGFB	TNNI3K	CKS1BP6
BCAP31	EXOC4	FRMD8
DAGLB	METTL3	KNTC1
MFSD12	CCNA2	CIRH1A
TMEM147	SGK1	EIF4G2
ACAP1	BTG1	FAM3C
MPI	ZNF138	LSM10
DDB2	BNIP3L	NGLY1
NPM1P46	C12orf52	AHCY
MAPK3	KIF2A	SUSD4
GAPDHP63	CENPA	ORC3
GIT1	TBL1XR1	VAMP7
MAP4K2	ARHGAP17	MAMLD1
POLD2	GTF3C5	C9orf16
NDUFAF3	CORO1A	SACM1L
ARFIP2	AP5M1	KCTD10
SETD1A	TTLL7	MTFP1
ATG4D	VPS29	MDH1
RNPEPL1	DNAJB6	ARHGAP26
FADS1	BTG2	NPM1
RNPS1	POLD3	TRIP13
PAK2	UBE2SP2	LYG1
CCDC57	ATL3	DYRK1A
DOT1L	PAX9	ECH1
CERK	PIGM	LSM3P4
CLCN7	PCGF5	ZNF766
MYRF	AGBL2	GSPT1
NAGLU	UBAP1	MLL5
PARP14	GLRX	KMT2E
TSC2	PTP4A2	LSM7
WDR62	TUBE1	ESF1
ODF2	RNU6-3P	RPS29
TREX1	RNU6-31	NIPSNAP1
GAPDHP70	PPP1CB	MLLT10
NAP1L4	WIPF1	HSPH1
TMEM80	SYT11	FAM193A
SLX1B	AUTS2	CLK1
C19orf57	PCGF1	SFSWAP
GRK6P1	GINS1	CCDC176
PDLIM2	HECTD4	LYRM2
DENND4B	TNFSF4	RPS8
DHRS4L2	C9orf64	DUSP12
SLC12A7	NAIP	TMEM231
SREBF2	TSLP	TMEM160
MRPS34	PDP1	SERTAD2
DNPH1	KIAA0408	RASSF5
GAMT	SPDL1	ATF2
BCL2L1	TBC1D32	SFT2D1
EPN1	C6orf170	RHOQ
MAN2C1	MXI1	LCK
MGRN1	EXOC6B	DYNLL1
PHLDB3	GBA2	GSPT2
LAIR1	FAM83D	SYPL1
MZB1	PDSS1	ZNF700
EEF1A1P13	SIAH2	GALNT18
PYCR2	LRRCC1	HPCAL1
FTH1P16	CRABP1	MOSPD2
MRPS2	LRIG1	KCTD9
CLN6	RNU6-29P	ZBTB1
YKT6	RNU6-29	HDAC7
ABHD14B	USP53	DHPS
ATF4	SEC22C	UQCRC1
GAA	TRMT10A	ERAP2
NMRAL1	FAM168B	XPO5
C20orf96	HMGA1	GRIP2
PHC2	C17orf58	CHCHD2P6
SARS2	FAUP1	SPDL1
PIM1	B4GALT5	C9orf123
AMDHD2	RUSC1	AP3B1
KIAA0930	BTBD2	OSBPL9
TMEM219	TMEM182	IPO7
CCNF	MAL	TBCK
MAD2L2	H2AFZ	RNASEL
PUF60	FRMD8	PTCH2
MEF2D	KATNBL1	PDHA1
LIG1	CD58	TLN2
DDX5	TRAF3IP3	ZNF85
CYHR1	SERINC1	LRRC8A
RPL4P6	KPNB1	ADAL
SLC39A13	ZSWIM6	B4GALT5
SMTN	HIST2H2AA3	ANP32E
THOP1	NLGN2	ZYX
ZC3H18	SESTD1	SMG1
GPS1	SH3RF1	ZSWIM6
TSR2	PSMD14	UQCRQ
RAD9A	PPP1R16B	CCDC64
SHKBP1	CCDC132	NDC80
ATF4P3	CNTROB	RPL22P22
DAZAP1	RHOQ	PAFAH1B1
NRBP1	RPL23A	TUBE1
RPA2P2	STARD5	SCO2
RRP1	CELF2	RPS13
CDK16	ATP6V1G1	MOSPD1
MKNK2	SLC25A39	B3GNTL1
STAT6	ATF3	APEX1
SEPT9	PCGF3	TRANK1
UBE2SP1	RNU6-33P	DUSP3
LMF2	RNU6-33	ORC5
DMWD	CDK7	STRN3
NUDT22	YDJC	PTPRG
SIGMAR1	JUN	G2E3
GSR	ENY2	LAPTM4A
EDEM1	KLHL20	SYNGR2
EPRS	VAMP2	CDK17
GUK1	DCAF8	ACADS
AKT1	HERC2P9	TRIM24
EIF4A1	MED10	PLEKHG1
HES6	CMTM6	HEXB
SKAP1	DYNC1I2	HDAC8
TOE1	IGSF3	ATP6V1G1
TRIM62	NGLY1	SMCR7L
LMAN2	MT-ND3	LHPP
SRCAP	GTF2H2	ISG15
RPLP0	ADCY10P1	CYB5A
FBXL15	PLGLB1	CENPE
SSBP3	CNBP	COMMD7
STARD3	RUFY3	CHRNA2
RAB5B	HSF2	TTF1
STIP1	RAP2A	TMEM50A
ATXN2L	DAAM1	RASSF2
ZNF768	TNKS	NEUROG2
SH3TC1	TUBD1	DSCC1
EDF1	ARHGAP12	TUBA1B
ATG16L2	NUDT6	BCAS2
TMEM39B	TNIK	KIF21B
LMO4	MAU2	FASTKD2
COMMD4	PPAPDC1B	EEF1B2
BCL7C	PHF14	IPPK
HS6ST1	FOSB	ORMDL1
PIP5K1C	MRP63	NGDN
ZGPAT	CSK	SF3A1
PRPF8	GTF2H2C	MTRR
DCAKD	PHTF1	NDUFA13
SFXN4	RBM4	SENP5
SPOP	ARL15	PNKD
PPP1CA	ICK	GINS3
BCAT2	LSM3P3	DTX3L
WDR74	NUB1	PAFAH1B3
TMSB4XP2	RBM33	MFSD4
PVRIG	TBRG1	WDR61
MTA2	LENG8	PNN
UBXN11	ARMCX6	TCEB3
E2F1	CDCA7L	TSLP
ELOVL1	SPON2	FASTKD3
MAFG	FBXO7	DNPH1
PKN1	UQCRC2	DDIT4
MYH9	FZD1	ZNF138
PANK4	COL15A1	RAB22A
MAN2B1	RNF168	COA1
CHMP7	UBE2SP1	GSDMD
ATP6V0E2	EAF2	PDCD5
POM121C	IKBKGP1	ZNF559
TTC7A	CEP41	ZNF468
DDX23	RNPS1	NPPC
CCDC69	EFNA4	MPV17
PDE4A	ATP7B	RGS3
STK38	AHCY	POP1
UBE2S	PDE10A	NFYC
PBXIP1	UBE2S	WDSUB1
ARHGAP27	RN7SKP160	RPL23AP2
PPP1R7	THAP2	GLIPR2
G6PC3	ERICH2	ARL6
CD1B	FAM219A	GAREML
GANAB	VIM-AS1	MYH9
STAT3	SLC25A6	TRIQK
ANO9	ATP5D	TMEM66
FAM193B	STXBP4	LAPTM4B
IDH3A	E2F1	F12
RPL15P18	AKAP8	TRERF1
TTLL3	CDK8	S100A11
TPP1	LRRC42	MBTPS2
SALL2	PDK1	MESDC1
CD52	SNRPN	WDR41
RING1	PPIP5K2	ANKRD36
UBE2SP2	AIF1	RBM27
CAPZB	OTUD3	SLC6A6
KDM6B	NDUFAF2	PFN1
RPL28	BATF	OBFC1
ACPL2	ZNHIT3	CHID1
EIF4A1P6	GTF2H1	MED30
MFSD10	CCNI	ZFP82
MIER2	DCTPP1	MYL6
RPL13	KCTD10	JKAMP
GPC1	NSA2	PLCH1
TBC1D10C	RCBTB1	TFAM
IMPA2	NDUFB11	DPM1
ASIC1	FAR1	EIF4A2
NCSTN	HSPE1	PAFAH2
SEC16A	SKA2	PTPRCAP
OGFR	PTPRA	PSMA2
DRAP1	JAM3	PELI2
ZMIZ2	RASA2	ARHGAP9
STAG3	PCBP1-AS1	PRL
CLEC2D	KIF27	NUPL2
LSG1	NUBP2	EXOSC7
TSPAN4	NAPG	C2orf69
FLOT2	TMEM106B	CASP8
SSBP4	RINL	SLC25A22
RBM38	TPI1	MBD4
ATM	PAN2	DDT
ZNF609	LIMA1	DCXR
TAF15	RNF126	ZNF23
RPS15	FAM217B	SNHG5
OXLD1	MTIF2	DDX46
POLE	H3F3C	TAPBPL
AGPAT2	CA11	CLTCL1
ANKRD9	SNX11	SBDS
LCAT	MSH6	GTF3C2
LRCH4	COQ3	SYNGAP1
PIGQ	DDX26B	KNSTRN
PRR7	LCOR	CMTM8
PTCRA	SPG7	PET112
TAGLN2	RAD51C	PAPD7
PPIP5K1	TBCEL	VAMP1
RCC2	RSRC1	SYT11
CELF1	IL2RG	ZNF367
DAXX	KLHL3	NAT9
PCSK7	ARHGAP23	NDUFB5
TERF2	EPB41L2	DTYMK
NRM	FBXW11	TGDS
ABHD15	SENP1	SLC4A1AP
ATP6V0A1	FBXL3	VPS26A
ATXN7L2	GNL1	POLR2H
C7orf43	TMEM107	CCDC124
C9orf142	KCTD12	SEPT8
CDK5	UTRN	GRINA
HNRNPUL2	KXD1	RPP38
KPTN	UBE2C	SHISA9
SLC25A38P1	CRIPT	MTIF2
SLC35C2	ITGA4	FIP1L1
ZDHHC12	UBE2J1	SRSF3
CSRNP1	RPL19P12	NELFE
ARHGAP30	STXBP5	ICT1
DPM2	LNPEP	RNF144A
TICRR	CWC25	AP3B2
STXBP2	PCBP2	FRG1
DHRS4	DDX39B	TBC1D10A
CABIN1	RPL22	HIVEP2
RPLP0P6	TECRP2	DNA2
COX10	TSPAN7	TOMM70A
VRK3	PELI1	OTUD4
NRN1	ARPP21	DDX5
C6orf47	EPHX4	CCT6A
EI24	BMF	KLHL20
EI24P2	SCAPER	TOB1
KAT5	MTHFD1	DDX19B
KIF18B	DYNC1I1	OTUB1
PRR14	FAM3C	RSPRY1
C15orf39	NUDT8	KLHL2
MAP3K11	NCK1	NR2C1
JOSD2	TMCO1	MRPL48
ATP5G1	PUS10	SNAP29
TRIM11	SLC2A4RG	HEXA
TP53	LARP4	ZNF28
EEFSEC	DNTTIP2	SCAND1
ZFYVE27	SAE1	MKKS
CNN2	SRSF5	ARFGEF2
APOA1BP	HIST1H4K	HMGA2
U2AF1	POLD1	SERBP1
CLTB	CRNDE	NDRG3
STARD10	SLC8A1-AS1	C11orf24
CTNNB1	UQCRFS1P1	BCL9L
ANKRD36	SPSB3	KDM1B
ARSA	PFDN1	TMSB4X
CES2	RLIM	COQ10B
KCNAB3	ABAT	CHCHD3
KLF16	DCP1B	MIS12
NCR2	TADA1	TAF12
PACS1	PLCL1	TMEM167A
PRKAB1	ZNF777	FTSJ1
RASAL3	GSE1	C15orf57
TEF	IRX5	SMARCD3
WNK2	IFFO2	RAPGEF1
DDX11	STRN4	THEMIS
RIC8A	ZNF638	ZNF607
TBCD	PHF17	SNX17
MYBL2	CCNT2	DANCR
RORC	EML6	IKBKG
SGSM2	CENPC	CACTIN
GPR108	CENPC1	PARD6A
HNRNPKP4	NDUFB2	BZW1P2
BRD2	PYURF	MDN1
PPP1R12C	RPS11	RC3H2
RPL12	RIN3	POLR2I
XPC	UBE2I	CDC42
DEF6	PTCD3	USPL1
HSD17B10	TBC1D4	ZNF384
ARAP1	WDSUB1	RPSA
C19orf66	MRPL49	DCUN1D4
ENTHD2	AKT3	EP300
FKBP8	TCEA2	SRP9P1
MED15	PTPRCAP	TTC9C
PODXL2	TCERG1	RB1
SEPT1	TMEM129	NTMT1
SHARPIN	MSRB3	TMEM14A
WBSCR22	SLC16A14	XYLT2
EEF1A1P9	RNU6-25	BBIP1
ABL1	C1orf162	SLC7A1
RAI1	MCU	FBXL17
SUV420H2	APMAP	C6orf120
ENO1	VOPP1	SNRNP35
NIPSNAP1	TECRP1	ZNF14
TPD52L2	C11orf54	GM2A
CCDC22	TBC1D24	CXorf56
GNB1L	RNU6-16	PLOD1
RABL6	RNU6-16P	FBXO33
FAM102A	WDR1	IRX3
KBTBD4	C7orf29	CSNK1A1
TRAF2	ZBED6CL	TPCN1
NUDT16L1	PQLC1	PPP4C
NPRL2	SUV39H1	HSD17B6
PSMA6P1	DUT	IFI30
TMEM134	HNRNPC	C1QBP
WDR70	TMEM189	SBDSP1
MRPL11	UQCC	RFTN1
NDUFB9	MT-ND4	GTSE1
DIAPH1	RGPD1	RNPS1
CCNE1	SLFN11	CRYZ
PPP2R3B	RPS29	SSBP2
YBX1P1	DNM3	AMPD2
HKR1	SRPK2	SLC25A30
SYNGR2	OSGEPL1	ANKRD12
CSNK1E	MBNL3	CDKN2AIP
BNIP1	IDH1-AS1	ASTN2
AARS	FAM168A	PA2G4
CTDP1	DTYMK	HSD17B7P2
DTX2	IDE	TOR1AIP1
FAM131A	MAST4-AS1	IKZF1
FUZ	C17orf89	INO80E
LTB4R	RNU6-37	RSAD1
NPM1P26	RNU6-37P	C17orf80
PPM1M	NIT1	PGM1
RDM1	NAMPT	RNU6-18P
DDX12P	SPRED2	RNU6-18
SIGIRR	H2AFZP1	TBRG1
BTBD2	CHCHD3	OMA1
CHMP4B	RBM15	MCU
TMEM141	RNH1	LYSMD2
PKD1	ADSS	CASP3
NISCH	KLHL15	C1orf174
IGHMBP2	NDUFS1	CSTB
LSM4	HADH	TRO
HMGB1P1	SLA	STX7
HDAC10	C19orf77	STARD3NL
CCDC124	HARS2	HSD17B7
HRAS	PFKFB4	RPL22L1
AKT1S1	EMD	SPTBN1
CD79A	STRA6	SLBP
EML2	IRS2	HIVEP3
MFSD2A	RPS13	TERF1P2
MIR616	RBCK1	PFKFB2
NKX6-1	ACVR2B	PXK
NPM1P39	CLU	TSFM
QPCTL	SLC9A9	CDK1
SPATA2L	LRRC40	AP3D1
TMEM63B	ERP29	XRCC5
RPL24	SQRDL	HLA-B
H1F0	CCDC15	SENP1
RPL15P2	ATXN2	PSAT1P3
SLC1A5	EAPP	CHST2
CRELD2	TMEM25	NIPSNAP3A
MBOAT7	ZNF263	ZNF518A
RPL32P26	ADK	TBK1
HSD17B8	CORO1B	NDUFA7
VIPR2	TNPO3	SNHG10
MOB3A	SMARCAD1	CCDC93
ATP5B	PCYT1A	NDUFS1
DUSP8	NR1D2	RPSAP58
GCC1	ST13	ROCK1
GIGYF1	CTDSP1	SNHG12
ITGB2-AS1	RPL18AP8	SLMAP
PRR12	GVQW1	CIRBP
SMG6	TIGD1L2	PSMB6
POLR2J	FAM216A	RNH1
UCK1	ZNF781	SCPEP1
FBXO18	AKAP13	DDX1
ATP6V1F	SERGEF	TRIB3
TAF9B	CTSC	NIT1
EEF1A1P14	ANKRD32	DPM3
HCFC1	KHSRP	GAL3ST4
MRPS26	RBM12B	RPS19
METTL23	RNU6-10P	ADCY10P1
SLC29A2	RNU6-10	RBKS
MCOLN1	FEM1C	MTG1
AGPAT1	RNU6-36	CSRP1
GIPC1	RNU6-36P	PCF11
VAV1	ARAP2	EIF2AK1
P4HB	UQCRFS1	DCAF15
C2orf81	UBE2N	SCD5
MLLT6	ARPC1B	HHAT
SIRT6	FUT8	ASIC1
RALY	MT-RNR1	HTATSF1
GAS7	PPWD1	AKIRIN2
FAM117A	TOMM20	C9orf163
TRMT2A	TIMM8B	KLHL18
ATHL1	OAZ2	DUSP5
GFER	C19orf10	CDIP1
IFT140	C11orf24	GAB3
PEX10	PPP1R9B	TPP2
PPP2R4	ATG16L1	RAB11A
SCAP	CHD7	RANBP3
KIF2C	SNRPG	VANGL2
NCAPH2	TIFA	FAM122B
GLIPR2	GADD45A	CREB5
NDUFV2	GMPS	IGFBP2
HIST2H2BC	SLIRP	TARS2
EIF5	COQ10B	SIK1
AMH	HEXB	IL2RG
